
Matrix size = 50
Execution time
0.000902
0.000878
0.000887
0.000789
0.000778
0.00089
0.000793
0.000794
0.000807
0.000809

Matrix size = 100
Execution time
0.006104
0.005618
0.005604
0.005135
0.005136
0.005024
0.004883
0.004673
0.004244
0.003973

Matrix size = 150
Execution time
0.010081
0.009326
0.009419
0.00923
0.009407
0.009339
0.009254
0.009336
0.00936
0.009591

Matrix size = 200
Execution time
0.022149
0.02212
0.021919
0.022142
0.022273
0.021868
0.022016
0.021982
0.021951
0.022146

Matrix size = 250
Execution time
0.04213
0.042438
0.042362
0.042168
0.04336
0.04258
0.042166
0.042327
0.044046
0.043428

Matrix size = 300
Execution time
0.07533
0.075239
0.074956
0.075054
0.078231
0.075278
0.075458
0.075297
0.075498
0.075242

Matrix size = 350
Execution time
0.119126
0.119255
0.116785
0.11699
0.117928
0.116872
0.118372
0.116993
0.11749
0.119296

Matrix size = 400
Execution time
0.177743
0.176346
0.174879
0.174354
0.176905
0.177703
0.177507
0.179122
0.17465
0.174049

Matrix size = 450
Execution time
0.251544
0.254072
0.255161
0.253078
0.252509
0.257297
0.25479
0.254451
0.248538
0.251316

Matrix size = 500
Execution time
0.350094
0.350783
0.350095
0.349648
0.34861
0.354476
0.350467
0.34878
0.353785
0.3518

Matrix size = 550
Execution time
0.479458
0.474073
0.475916
0.475879
0.471569
0.478064
0.480371
0.475616
0.478849
0.47609

Matrix size = 600
Execution time
0.613548
0.61305
0.612292
0.598848
0.599148
0.603764
0.610848
0.605496
0.603588
0.611478

Matrix size = 650
Execution time
0.798512
0.78738
0.794932
0.790748
0.788896
0.786124
0.787338
0.787888
0.786546
0.790264

Matrix size = 700
Execution time
0.979624
0.98369
0.982148
0.978558
0.980332
0.978376
0.975344
0.980532
0.978908
0.977668

Matrix size = 750
Execution time
1.25344
1.25414
1.25969
1.24911
1.25708
1.25884
1.2534
1.25782
1.25996
1.25674

Matrix size = 800
Execution time
1.58563
1.58238
1.59079
1.58255
1.58401
1.59338
1.58879
1.59518
1.77092
1.56981
