;;;;;;;;;;;;;;;;;;;Golden Standard;;;
Matrix size = 50;;;Matrix size = 50;;;Matrix size = 50;;;Matrix size = 50;;;;;;;;;;Matrix size = 50;;;
;;;;;;;;;;;;;;;;;;;Execution time;;;
0,00062;0,215976; ;0,000714;0,219939; ;0,00081;0,217205; ;0,001461;0,219948; ;;;;;0,000709;;;0,022149;;;
0,000588;0,214752; ;0,000689;0,215988; ;0,000888;0,218175; ;0,001369;0,224412; ;;;;;0,000518;;;0,02212;;;
Average Execution;;;;;;;;;;;;;;;;0,000492;;;0,021919;;;
Matrix size = 200;;;Matrix size = 200;;;Matrix size = 200;;;Matrix size = 200;;;;;;;0,000615;;;0,022142;;;
Number of Work Groups = 200;;;Number of Work Groups = 40;;;Number of Work Groups = 20;;;Number of Work Groups = 4;;;;;;;;;;0,022273;;;
Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;;;;;;;;0,021868;;;
0,000945;0,215668; ;0,000905;0,216677; ;0,0011;0,221498; ;0,002131;0,223597; ;;;;;;;;0,022016;;;
0,000845;0,215181; ;0,001038;0,214535; ;0,001448;0,221729; ;0,002044;0,220407; ;;;;;;;;0,021982;;;
0,000805;0,219152; ;0,000852;0,219434; ;0,001043;0,216963; ;0,002072;0,217465; ;;;;;;;;0,021951;;;
0,001079;0,221461; ;0,00091;0,214594; ;0,001442;0,220737; ;0,002068;0,219421; ;;;;;;;;0,022146;;;
0,00086;0,218201; ;0,000927;0,214334; ;0,001103;0,214905; ;0,00209;0,216539; ;;;;;;;;;;;
0,000963;0,216333; ;0,000946;0,210817; ;0,001057;0,215506; ;0,002088;0,227512; ;;;;;;;;Matrix size = 250;;;
0,000931;0,215612; ;0,001194;0,212633; ;0,001112;0,215634; ;0,002204;0,217739; ;;;;;;;;Execution time;;;
0,000802;0,219942; ;0,001076;0,212785; ;0,001514;0,218287; ;0,002653;0,216758; ;;;;;;;;0,04213;;;
0,001036;0,216397; ;0,000868;0,214544; ;0,001167;0,220407; ;0,002217;0,21767; ;;;;;;;;0,042438;;;
0,000815;0,217788; ;0,000822;0,2139; ;0,001201;0,221408; ;0,002214;0,220187; ;;;;;;;;0,042362;;;
Average Execution;;;;;;;;;;;;;;;;;;;0,042168;;;
Matrix size = 250;;;Matrix size = 250;;;Matrix size = 250;;;Matrix size = 250;;;;;;;;;;0,04336;;;
Number of Work Groups = 250;;;Number of Work Groups = 50;;;Number of Work Groups = 25;;;Number of Work Groups = 5;;;;;;;;;;0,04258;;;
Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;;;;;;;;0,042166;;;
0,001257;0,218432; ;0,001211;0,215899; ;0,001378;0,218994; ;0,002894;0,225395; ;;;;;;;;0,042327;;;
0,00115;0,21578; ;0,001268;0,225337; ;0,001445;0,218162; ;0,003065;0,219458; ;;;;;;;;0,044046;;;
0,001131;0,215313; ;0,001202;0,214008; ;0,001496;0,217913; ;0,003091;0,213766; ;;;;;;;;0,043428;;;
0,00123;0,215532; ;0,001233;0,213104; ;0,001401;0,218569; ;0,002909;0,21417; ;;;;;;;;;;;
0,001135;0,213934; ;0,001366;0,215279; ;0,001419;0,219191; ;0,00314;0,212676; ;;;;;;;;Matrix size = 300;;;
0,001083;0,216762; ;0,001215;0,221333; ;0,001321;0,214691; ;0,003194;0,219876; ;;;;;;;;Execution time;;;
0,001124;0,218215; ;0,001329;0,216078; ;0,001279;0,215328; ;0,003255;0,223478; ;;;;;;;;0,07533;;;
0,001112;0,218009; ;0,001347;0,215291; ;0,001362;0,218663; ;0,002969;0,216429; ;;;;;;;;0,075239;;;
0,001161;0,218522; ;0,001322;0,221826; ;0,001319;0,217961; ;0,003026;0,21516; ;;;;;;;;0,074956;;;
0,001078;0,218424; ;0,001212;0,222346; ;0,001291;0,214683; ;0,003122;0,21747; ;;;;;;;;0,075054;;;
Average Execution;;;;;;;;;;;;;;;;;;;0,078231;;;
Matrix size = 300;;;Matrix size = 300;;;Matrix size = 300;;;Matrix size = 300;;;;;;;;;;0,075278;;;
Number of Work Groups = 300;;;Number of Work Groups = 60;;;Number of Work Groups = 30;;;Number of Work Groups = 6;;;;;;;;;;0,075458;;;
Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;;;;;;;;0,075297;;;
0,001494;0,215867; ;0,001672;0,21905; ;0,001803;0,220107; ;0,00416;0,218301; ;;;;;;;;0,075498;;;
0,001755;0,213864; ;0,001675;0,215549; ;0,001641;0,216299; ;0,007861;0,215402; ;;;;;;;;0,075242;;;
0,001595;0,215696; ;0,001559;0,2194; ;0,001719;0,220129; ;0,004429;0,213657; ;;;;;;;;;;;
0,001612;0,212213; ;0,001834;0,22008; ;0,002846;0,224767; ;0,003996;0,211883; ;;;;;;;;Matrix size = 350;;;
0,001612;0,214779; ;0,001703;0,225897; ;0,001731;0,217137; ;0,004049;0,210002; ;;;;;;;;Execution time;;;
0,001589;0,21816; ;0,001642;0,218744; ;0,001687;0,219036; ;0,004063;0,213325; ;;;;;;;;0,119126;;;
0,00157;0,217978; ;0,001673;0,220603; ;0,002816;0,218066; ;0,004307;0,215973; ;;;;;;;;0,119255;;;
0,001622;0,218327; ;0,001672;0,217925; ;0,001756;0,215069; ;0,004341;0,220919; ;;;;;;;;0,116785;;;
0,001554;0,223913; ;0,002584;0,217917; ;0,001696;0,216597; ;0,004087;0,214553; ;;;;;;;;0,11699;;;
0,001611;0,21699; ;0,001716;0,214426; ;0,001766;0,215733; ;0,003982;0,213894; ;;0,219082802;;;;;;0,117928;;;
Average Execution;;;;;;;;;;;;;;;;;;;0,116872;;;
Matrix size = 350;;;Matrix size = 350;;;Matrix size = 350;;;Matrix size = 350;;;;;;;;;;0,118372;;;
Number of Work Groups = 350;;;Number of Work Groups = 70;;;Number of Work Groups = 35;;;Number of Work Groups = 7;;;;;;;;;;0,116993;;;
Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;;;;;;;;0,11749;;;
0,011196;0,290492; ;0,002479;0,224551; ;0,002596;0,218312; ;0,005314;0,214234; ;;;;;;;;0,119296;;;
0,002274;0,274538; ;0,002327;0,219935; ;0,002727;0,221182; ;0,005512;0,213768; ;;;;;;;;;;;
0,002099;0,224422; ;0,002359;0,220799; ;0,002642;0,220005; ;0,005471;0,216699; ;;;;;;;;Matrix size = 400;;;
0,002243;0,233731; ;0,002305;0,217829; ;0,002665;0,222831; ;0,005582;0,216404; ;;;;;;;;Execution time;;;
0,002373;0,233053; ;0,002344;0,217572; ;0,002608;0,219615; ;0,005402;0,217822; ;;;;;;;;0,177743;;;
0,002129;0,220847; ;0,002412;0,222306; ;0,002852;0,219837; ;0,010281;0,218679; ;;;;;;;;0,176346;;;
0,002248;0,22398; ;0,002416;0,223631; ;0,004662;0,219997; ;0,005473;0,215447; ;;;;;;;;0,174879;;;
0,002078;0,219281; ;0,002402;0,218937; ;0,002621;0,218669; ;0,00574;0,216203; ;;;;;;;;0,174354;;;
0,002174;0,21745; ;0,002261;0,214937; ;0,002615;0,217666; ;0,005467;0,215616; ;;;;;;;;0,176905;;;
0,002213;0,216486; ;0,002414;0,219143; ;0,00466;0,217377; ;0,005705;0,21543; ;;;;;;;;0,177703;;;
Average Execution;;;;;;;;;;;;;;;;;;;0,177507;;;
Matrix size = 400;;;Matrix size = 400;;;Matrix size = 400;;;Matrix size = 400;;;;;;;;;;0,179122;;;
Number of Work Groups = 400;;;Number of Work Groups = 80;;;Number of Work Groups = 40;;;Number of Work Groups = 8;;;;;;;;;;0,17465;;;
Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;;;;;;;;0,174049;;;
0,002628;0,219656; ;0,002406;0,21591; ;0,00301;0,212836; ;0,006712;0,218964; ;;;;;;;;;;;
0,002597;0,219975; ;0,002561;0,219959; ;0,00291;0,214324; ;0,006834;0,217776; ;;;;;;;;Matrix size = 450;;;
0,002618;0,217169; ;0,002377;0,217803; ;0,003079;0,2155; ;0,006901;0,218398; ;;;;;;;;Execution time;;;
0,002758;0,216617; ;0,002385;0,223541; ;0,002943;0,21435; ;0,006935;0,218093; ;;;;;;;;0,251544;;;
0,002748;0,215399; ;0,002607;0,21718; ;0,003104;0,216365; ;0,006838;0,221283; ;;;;;;;;0,254072;;;
0,002808;0,219122; ;0,002558;0,216585; ;0,002974;0,215002; ;0,007058;0,21795; ;;;;;;;;0,255161;;;
0,002564;0,217506; ;0,002616;0,222302; ;0,002908;0,218068; ;0,006968;0,21774; ;;;;;;;;0,253078;;;
0,002644;0,216732; ;0,002444;0,216456; ;0,002836;0,210374; ;0,007176;0,21804; ;;;;;;;;0,252509;;;
0,002722;0,220476; ;0,002366;0,21514; ;0,002976;0,21513; ;0,006842;0,219454; ;;;;;;;;0,257297;;;
0,002752;0,217306; ;0,002454;0,217244; ;0,00304;0,212314; ;0,013284;0,219636; ;;;;;;;;0,25479;;;
Average Execution;;;;;;;;;;;;;;;;;;;0,254451;;;
Matrix size = 450;;;Matrix size = 450;;;Matrix size = 450;;;Matrix size = 450;;;;;;;;;;0,248538;;;
Number of Work Groups = 450;;;Number of Work Groups = 90;;;Number of Work Groups = 45;;;Number of Work Groups = 9;;;;;;;;;;0,251316;;;
Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;Execution time;Setup time;;;;;;;;;;;;
0,003982;0,228688; ;0,00428;0,213708; ;0,004106;0,218968; ;0,00889;0,214006; ;;;;;;;;Matrix size = 500;;;
0,004168;0,214732; ;0,004064;0,21294; ;0,004204;0,210276; ;0,00924;0,216224; ;;;;;;;;Execution time;;;
0,004144;0,215364; ;0,003994;0,214222; ;0,004116;0,21216; ;0,009368;0,215624; ;;;;;;;;0,350094;;;
0,004012;0,214762; ;0,007712;0,211692; ;0,004402;0,213168; ;0,009342;0,218168; ;;;;;;;;0,350783;;;
0,003916;0,216448; ;0,004068;0,21146; ;0,00415;0,216862; ;0,00906;0,21733; ;;;;;;;;0,350095;;;
0,00393;0,21596; ;0,004156;0,213842; ;0,00427;0,213806; ;0,009032;0,218476; ;;;;;;;;0,349648;;;
0,004054;0,21636; ;0,00429;0,213332; ;0,004228;0,216248; ;0,009062;0,220688; ;;;;;;;;0,34861;;;
